soil_pH,soil_N,soil_P,rainfall_mm,temp_avg,fertilizer_kg_per_ha,irrigation_mm,pesticide_ml,input_cost_total,environmental_score,yield_kg_per_ha,date,month,day_of_year,crop_type
4.6,118.5666277,32.14506192,546.1359587,22.48691683,185.3815124,335.3636627,90.98430782,187.0587811,220.9364371,4131.007011,2024-04-21,4,112,Wheat
6.89,151.8004796,18.72504099,487.4118697,15.07799809,68.00087721,306.5581195,230.0305069,164.3212146,155.7710129,3724.148893,2024-01-07,1,7,Maize
6.78,31.55760867,22.43206233,324.3015612,27.09457113,83.4328558,418.1456566,216.1119638,190.1791484,197.1146068,2923.93725,2024-05-07,5,128,Barley
8.2,133.8719408,6.825414501,266.8648127,33.64383379,26.73913088,58.16586357,234.0252071,95.21030029,56.89575831,3114.859689,2023-05-24,5,144,Maize
7.97,160.373178,31.82168877,556.4105636,15.02864629,59.57187968,32.81304409,192.4739044,94.09071997,64.83443147,3652.12742,2023-12-25,12,359,Maize
5.98,144.2008803,58.02431291,,25.65080958,168.7457585,85.83909752,195.181957,160.0952859,146.5173801,3302.251594,2023-09-29,9,272,Rice
7.29,113.4347213,50.51354072,250.5636842,23.98598574,103.7495694,100.5876161,162.8634397,120.8513399,108.7123705,2729.93255,2024-11-13,11,318,Barley
6.42,118.9153165,47.5106815,235.8474852,31.65479082,58.44979135,147.3506849,83.1775249,83.64829013,87.59283278,2661.628293,2025-03-06,3,65,Rice
5.78,176.7349822,20.14596458,744.6176702,29.6658857,158.8028901,19.70879256,23.60930256,90.42599431,103.5553021,3947.221305,2023-06-03,6,154,Barley
5.79,171.565993,10.79507072,685.9041863,18.25839096,163.8991371,397.0672809,99.80705391,191.3051409,227.4403719,4458.113033,2025-03-19,3,78,Maize
4.8,145.1260197,8.947669342,367.7929378,19.87110672,85.37894556,235.3504997,125.2344852,127.3299183,134.3559658,3265.741588,2023-03-07,3,66,Rice
7.32,83.61584827,48.69835495,264.5244276,34.40314922,68.19239473,120.075798,220.6562117,124.3082205,99.00379741,3375.995639,2024-04-24,4,115,Maize
8.39,91.56699163,21.56958934,369.0757892,27.2964494,116.6614496,60.68596227,257.7974853,147.8071629,113.982407,3137.150732,2023-06-17,6,168,Barley
8.32,147.6283271,41.21972836,197.3548578,15.43658921,21.34236382,94.2499264,57.56195532,46.78975379,46.83659174,3263.464888,2023-09-11,9,254,Rice
5.43,94.90771967,39.23275029,54.81457355,24.65456698,,238.5549088,139.0173026,105.777793,105.1021474,2567.819876,2024-04-02,4,93,Maize
7.45,159.4376356,58.75193494,728.806543,22.89261742,17.67939343,399.845931,32.09737835,98.43809642,133.7711532,3679.942573,2024-03-01,3,61,Barley
8.13,147.5053358,23.43644261,491.1730536,14.36437245,61.93834222,289.8857209,230.9920855,158.2439409,147.2279301,3271.252555,2023-10-12,10,285,Rice
4.64,77.37545053,33.78650013,129.3124533,29.35362425,38.40467383,213.7709277,193.8140832,120.1007474,106.5554909,2649.634508,2025-04-17,4,107,Wheat
5.78,169.784152,39.87781761,698.9774402,16.80598247,41.81947292,203.7039407,257.9243417,139.0278271,111.9953001,3900.393227,2025-09-15,9,258,Wheat
4.52,69.25279993,21.07200268,357.4474209,13.72064314,173.9067344,201.1302068,114.9493406,161.6642107,176.1780367,3811.381961,2025-03-16,3,75,Rice
7.03,135.6185947,46.48365428,531.63189,34.87810375,,349.0352732,231.7567775,200.7840339,201.6261949,3556.39843,2025-05-17,5,137,Barley
7.23,137.0361966,21.13197359,724.3522243,24.97494228,181.3971037,451.6368111,252.2355216,256.6965705,269.5528577,4295.621301,2024-02-26,2,57,Rice
6.04,23.45460983,36.80641197,514.4665157,15.79750658,134.8587147,339.5858498,51.3820232,150.7611343,187.9291861,3196.130174,2024-03-28,3,88,Rice
7.99,124.4155174,13.36573558,814.2290327,18.81917143,126.154084,351.1993605,272.4251061,215.044446,208.2947692,4232.766372,2023-08-23,8,235,Barley
5.45,176.931835,29.76930384,627.3202661,39.15263293,94.83158918,68.02811722,94.33023174,89.32048755,86.74041184,3842.964772,2023-04-27,4,117,Barley
6.29,188.5890246,58.02095739,446.3264839,21.79288152,77.25754103,212.3970907,163.0217557,130.0147153,126.3758274,3599.496026,2023-11-21,11,325,Rice
4.97,116.3558237,26.34911384,676.8939937,18.824889,48.7229584,143.7012669,47.48491521,67.34720715,77.09264664,3835.11825,2024-03-01,3,61,Wheat
4.9,194.8511169,40.87604067,203.1009291,16.04587898,76.90316274,332.006114,202.2560846,165.5296296,165.9693403,3334.301296,2023-01-13,1,13,Maize
7.17,69.34891998,19.92751592,210.8787081,26.90429485,71.05679485,58.75092011,62.82201418,66.1251857,66.54155436,2870.652898,2023-12-07,12,341,Rice
6.45,20.57928745,44.19417332,480.1485931,26.75855538,193.1673338,24.23211624,213.6215977,165.5165694,144.5321949,4025.025669,2024-08-22,8,235,Wheat
6.97,107.9923844,59.12072398,579.7111169,21.50179746,135.3744552,440.8176746,290.170842,173.261013,219.2733923,3926.295109,2024-12-20,12,355,Rice
7.29,90.64884015,37.54334393,381.9785147,32.96466938,58.17537085,490.7107125,57.44688447,144.4638933,187.8631247,3188.586311,2025-05-12,5,132,Wheat
7.48,39.18674546,39.2873277,495.1582288,31.93052618,13.60746282,474.3952488,274.1443568,183.9260882,177.897488,2556.470917,2025-09-10,9,253,Wheat
5.65,25.97655958,31.5122582,681.24182,18.90961707,19.33891196,483.2953851,284.5275467,191.686797,185.0447174,3201.039737,2024-12-03,12,338,Barley
5.86,80.66057176,53.95533694,680.672627,30.9194178,143.6028356,495.3213686,83.46515612,195.9052384,243.1046276,4103.751777,2023-01-31,1,31,Maize
6.75,,33.78312972,637.8611247,30.577191,,281.8685507,38.13078413,79.61019375,102.5303417,3621.573803,2024-12-02,12,337,Barley
8.44,131.3500481,10.53506132,509.7818604,25.08962663,135.2796738,93.67339566,81.10457715,110.7058892,117.3802807,3301.397625,2025-06-19,6,170,Maize
4.75,99.11210395,47.35870165,863.013024,20.30291308,183.0579881,229.6730051,14.74824875,141.8880697,180.2115192,4483.316582,2025-07-18,7,199,Rice
7.28,48.60347018,49.0001915,,31.4712656,108.4030597,120.3562928,68.52775569,98.83111512,108.0014992,2749.393871,2025-06-05,6,156,Rice
7.65,118.632708,8.421177439,781.6644197,31.77681083,62.07417782,143.4233228,58.93239457,77.40147185,86.164743,3738.725711,2023-07-21,7,202,Maize
6.98,182.0041622,32.53433474,521.70884,39.93898835,127.8215694,477.5875802,243.1811545,232.3826471,244.2873312,4051.855462,2023-06-13,6,164,Rice
7.02,167.2101589,20.16721625,157.58373,15.22915668,162.3254029,296.2467396,102.8899559,171.2790361,196.5582592,3467.349328,2025-02-01,2,32,Maize
5.97,189.8508656,18.30416055,63.39027651,28.19848841,70.95945793,183.3609543,90.68301015,99.35682287,106.6522621,3075.303431,2025-09-14,9,257,Maize
4.88,21.75875254,7.510681003,667.7919137,13.17130611,178.2280184,356.8036831,186.7648189,216.5041915,232.6543978,3862.830744,2024-03-01,3,61,Maize
8.3,37.22861999,40.22618232,310.0270838,26.2519605,25.66998532,353.4017981,50.57971453,98.68926664,126.4805021,2596.180404,2025-04-23,4,113,Wheat
5.67,27.08183732,26.13136921,268.9445924,28.30886001,70.69463841,192.7762507,91.42827384,101.3310515,109.3924857,3185.019879,2024-05-23,5,144,Wheat
7.49,116.4489832,42.78605966,659.4683239,22.01158635,68.47902466,346.4392138,132.1303712,143.1664665,158.2322161,3464.418682,2024-10-23,10,297,Wheat
5.18,54.53611845,39.62567333,298.8564804,23.97263228,53.62864592,266.7401044,200.4058358,140.2840946,132.2398024,2751.649858,2024-06-03,6,155,Barley
6.05,177.2618806,8.425020824,408.1035532,17.88134924,,201.7599962,282.9930336,218.5366783,200.771425,3631.451936,2024-07-07,7,189,Barley
4.64,113.1880958,20.22478693,252.9898091,23.90459465,141.9342687,284.4063682,151.2210239,173.2147152,185.6045741,3071.766734,2024-08-25,8,238,Barley
6.97,193.3268375,9.873259268,655.2612453,20.00625672,125.2109418,247.4129758,50.04891149,127.1027395,154.355349,4151.690068,2023-02-04,2,35,Barley
5.47,47.4348824,46.85707846,228.0413833,25.24627477,168.0696355,293.6849343,186.9943301,198.8701037,207.6466946,2737.120477,2024-08-19,8,232,Maize
7.88,100.1549459,21.84724243,582.5959317,19.65568201,115.2977806,370.6543542,158.1932687,179.2377418,196.1943015,3569.13594,2025-01-23,1,23,Maize
5.21,53.39459283,18.17305935,439.8149102,18.62704437,73.65002148,446.9865287,130.2146605,165.2867146,191.3074376,2644.316655,2025-09-13,9,256,Barley
5.06,73.52282133,35.80925009,352.9368157,24.8106317,87.07926468,426.6423993,245.0380109,202.3795155,204.7440797,3423.210305,2024-05-20,5,141,Barley
4.8,83.83198838,14.05884944,225.625132,33.47677797,184.107177,53.41049648,46.45280449,116.6715292,131.1327356,3338.451957,2024-04-10,4,101,Wheat
4.86,27.48311463,46.59174877,733.6118372,23.9871945,194.9808546,29.11891541,117.1129338,138.4480905,137.4354807,3702.014018,2024-08-06,8,219,Maize
8.47,140.1668094,52.84830378,611.9676544,21.6760508,81.83651749,462.3293048,149.1501842,178.129175,202.7157204,3791.700954,2023-10-22,10,295,Maize
5.67,72.49926417,33.18000777,682.0421405,30.81007906,60.98062488,319.1122075,106.4985347,126.2623144,142.9718907,3063.295608,2024-08-25,8,238,Barley
4.83,141.217838,13.47797737,700.397664,16.8134103,168.7625727,264.7668075,38.22242151,148.8013743,184.509828,4133.642064,2024-01-13,1,13,Barley
6.71,167.4539947,49.45293655,456.4893592,15.07567411,188.5965568,292.8271677,198.5909518,212.4409975,220.8651796,4015.482794,2025-02-05,2,36,Wheat
7.77,35.65761678,39.90692003,521.010168,33.59266365,109.2814148,254.8630376,21.1382033,111.9547759,144.1415805,3661.941037,2025-05-03,5,123,Wheat
7.93,124.1615735,55.23078212,497.39559,23.97125986,199.0843026,259.1028661,63.30070287,155.1607667,198.4474554,3821.349587,2025-07-29,7,210,Wheat
5.51,101.0667685,26.3206843,489.1302546,30.21140817,18.27064854,349.7639352,225.2007043,146.6483226,138.4116401,3347.89311,2023-05-26,5,146,Maize
8.26,189.0321857,14.11759971,237.9736292,28.46546425,37.15539094,267.8444852,278.9611447,155.8349359,130.5426946,2720.84374,2023-01-10,1,10,Barley
8.42,90.36307926,53.87624941,636.7612948,26.06771087,72.458698,470.9527936,118.3023439,165.9106109,196.5912913,3539.731287,2024-04-19,4,110,Wheat
5.18,135.3749739,5.808136376,590.9399938,30.84116439,182.96699,432.2014936,184.4709044,233.265065,257.8877325,3836.81292,2023-10-17,10,290,Rice
8.1,85.96307628,58.9543058,464.9881264,26.84542785,,245.665216,203.5980281,208.9492989,212.5435843,3581.585496,2023-01-12,1,12,Barley
6.1,197.2405531,29.01378044,124.1120227,18.2740625,143.6136322,266.1801174,94.91262222,153.5166263,175.5134768,3801.411411,2024-11-21,11,326,Rice
8.16,43.05723435,59.62902585,702.7884149,19.54726354,,183.31885,181.7097721,179.8362458,179.5580852,3850.140713,2024-10-05,10,279,Maize
5.06,75.86515261,54.08878095,493.4901628,20.29651311,111.5377382,78.30640745,200.9860473,131.7259648,110.5131699,3250.200042,2023-08-01,8,213,Wheat
6.51,179.646482,36.02407159,700.3272935,35.27031687,64.00322262,299.5055221,177.6925576,102.5642692,131.8074414,3830.070677,2023-06-24,6,175,Wheat
5.15,130.7394989,31.62423883,466.6489839,15.35629191,184.7462792,403.6308247,162.7159681,221.9140949,248.2086117,3788.087367,2025-09-08,9,251,Rice
5.45,59.7385303,21.76131025,132.2859101,28.40135004,121.6422754,401.5852558,183.4967027,196.1871996,211.8106122,2958.59264,2024-03-09,3,69,Barley
8.06,155.9486757,24.80277562,308.1445428,34.83955459,54.84257782,205.2993486,206.7430071,130.5040608,115.169652,3168.953224,2024-06-13,6,165,Rice
7.19,119.0407776,27.41486671,389.1765966,24.9875764,,251.3917209,75.77580201,77.9419835,88.91217493,2851.387573,2023-10-16,10,289,Barley
4.54,113.1084302,10.63837802,61.61473644,30.81984645,68.31407741,381.647456,42.26058119,123.1647043,159.7087414,2770.01508,2023-09-12,9,255,Wheat
